sentence,gold_label,predicted_label,label_match
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . nggak mau lagi deh ke tempat itu . sudah mana tempat nya juga nggak nyaman banget , terlalu sempit .",2,0,False
"kayak nya sih gue nggak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih nggak ada restoran yang kayak gitu . nggak tahu deh apa yang mereka jual .",2,0,False
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya nggak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,0,False
"saya sudah komplain dengan berbagai cara tapi sangat nggak mengenakkan , selain lama respon tetapi juga nggak ditanggapi . saya sudah transfer uang dan sudah saya kirim tanda bukti nya tapi sampai saat ini nggak ada kejelasan sama sekali . saya merasa tertipu .",2,0,False
"e - tiket belum diterima padahal uang nya sudah ditransfer . pas mau konfirmasi ke pelayanan pelanggan nggak pernah direspons , e-mail juga nggak dijawab . mantap ! bikin kecewa saja bisa nya !",2,0,False
"nggak bisa menggunakan kode promo di aplikasi android , telpon ke pelayanan pelanggan bilang nya nggak ada solusi nya . oke uninstall dan nggak rekomendasi !",2,0,False
"terminal nya nggak ditulis tahu dari mana , saya kontak nggak ada balasan , mending aplikasi sebelah lebih oke , baru sekali coba sudah kayak gini kesan nya . nggak asik .",2,0,False
"gue merasa dirugikan banget sih ini . harga miyako dispenser yang dp 200 kualitas nya sama kayak profesional meja dispenser sanex 2102 . ini nggak tahu gue saja yang mengalahkan atau bagaimana . tapi yang pasti , cold sama hot nya nggak berfungsi .",2,0,False
suka kesal dengan kpopers yang mukulin pangsek sumpah saya kesal banget sama kalian saya dukung yanglek karena dia satu satu nya rapper yang muka nya seperti lipatan kulit badak . kenapa kalian nggak mengajak saya dan nggak dimatikan sekalian atau direndam pakai rinso biar bening . gue kan benci banget sama dia .,2,0,False
"gua enggak suka cara pelatih timnas u16 yang melarang pemain nya diwawancara sama teman-teman media . di luar sana , justru pemain muda diajari public speaking baik di depan media maupun di depan rakyat . harus nya pelatih atau manager cukup membatasi apa yang nggak boleh dishare ke media .",2,0,False
"kecewa berat kepada pihak stasiun tv yang mengacak siaran nya karena rakyat jelata seperti kami nggak bisa melihat timnas u23 bermain . percuma kita tuan rumah kalau rakyat indonesia sendiri nggak bisa melihat di tv , salam buat pihak yang terkait semoga kalian semua puas .",2,0,False
saya secara pribadi tetap nggak setuju dengan semua jenis ajakan . apalagi untuk timnas yang main . kalau liga-liga top eropa apa yang lain silakan saya nggak menonton juga nggak mengapa . tapi ini timnas . kita tetap meminta ta pak dan pak nahrawi,2,0,False
aku kecewa . tadi pergi kfc dapat wedges macam nggak niat dibuat nya . sudah begitu memberi mayones nya berantakan banget .,2,0,False
ini orang suka banget pidato sama . resmikan acara . nggak suka kerja . si wakil nya cuma cengeh-cengehan disamping . benar-benar badut,2,0,False
charger masih benar buat telepon genggam lain . cuma sama xiao mi saya suka nggak cocok . yang saya bawa tiap hari lebih cocok . padahal charger asus . malah charger ori xiaomi nya nggak enak,2,0,False
"dulu aku sempat pengin ganti handphone juga . pertimbangan ku itu oppo f5 , vivo v7 , sama xiaomi mi a1 . mereka bertiga dari spesifikasi dan harga mirip mirip . tapi terus aku eliminasi xiaomi mi a1 , karena dia slot nya hybrid . aku nggak suka .",2,0,False
hotel mau cek in aja ribet bersihkan kamar lama banget kecewa dah . ini pertama kalinya gue ke sana . terus langsung dikasih first impression yang nggak bagus .,2,0,False
"sebagai indomie goreng mania , saya merasa kecewa kalau mendapati ternyata bumbu jebol di dalam kemasan , kudu bagaimana nek ngene ini ? gaduh . nggak profesional banget .",2,0,False
"kecewa sama supir taxi masa menara indofood dibilang shangrila hotel , kalau memang nggak tahu ada baiknya tanya !",2,0,False
"sampai saat ini benar-benar enjoy deh pakai . tapi tadi kita coba cash kembali 50 % sunday ya nonton bioskop , di xxi epicentrum cuma bisa pkk debit bca saja . nggak bisa pakai kartu lain . penonton kecewa deh . __sad__",2,0,False
"sungguh kecewa dengan pelayanan bca , khusus nya baca finance wtc mg 2 . pelayanan ovet kredit yang sungguh mengecewakan . sudah hampir 1 bulan lebih belum ada kabar juga , bahkan saya sudah membayar 2x tagihan cicilan masih belum ada kabar juga . tanya ke marketing juga respon nya nggak ada .",2,0,False
kalau driver go jek nggak pelayanan prima meminta bungkus acar untuk mengambil saos tambahan hilang nafsu makan saya . bravo driver go jek .,0,2,False
banyak alasan saya bisa merasa puas dengan pelayanan go jek . go jek nggak pernah lepas dari tanggung jawab . itu adalah nilai plus yang belum tentu dimiliki oleh perusahaan yang lain .,0,2,False
