sentence,gold_label,predicted_label,label_match
"laur biasa keceaw sangat dengan aplkiasi ini , saya sudah hubungi pusat panggilan untuk cek pemesanan saya karena saya sudah baar dan tidk mucnul e - tiket nya , bahkan saya sudh kirim bukti transaksi nya ke e-mail , hingga saat ini tdiak ada piak pusat panggiln yag menghbungi , keceaw .",2,0,False
"terminal nya tidak ditulis tahu dari mana , saya kontak tidka ada balasan , mnding aplikasi sebealh lbih oke , brau seali cboa sudah kayak giin kesan nya . tiadk asik .",2,0,False
"takir politik ahy belum bsa ikut kontesatsi pilpres 2019 - 2024 . wlaaupun ahy legowo , kami tetap kceewa .",2,0,False
saya secaa priadi tteap tidak setuju dengan semua jeins ajakan . apalagi untuk timans yang main . kalau lgia-liga top eorpa apa yang lain silakan saay tdak menonton juga tidak mengpaa . tapi ini timnas . kita tetp mmeinta ta pak dan pak nharawi,2,0,False
"aku belajar stu perkara tentang pengharapan . kaau kia berahrap pada thuan , memnag tak akan kecewa . klaau kita berharap pd kfc , barulah kcewa sangat .",2,0,False
"itu tadi saya cancel , sola nya kantor saya juga sudah tutup . semoga tidak kejdaian seperti ini lai , karena selama saya oder di pd brau pertama kali menemukan hal yang sepreti ini , kecea sih .",2,0,False
"dulu aku sempat penign ganti handphone juga . pertimbangan ku itu oppo f5 , viov v7 , sama xiaomi mi a1 . merka bertiga dari speisfikasi dan harga mirip mirip . tapi terus aku eliminsai xiaomi mi a1 , karena dia slot nya hybrid . aku tidak skua .",2,0,False
cukuplah sekali aku pernah keewa denagn lenovo .,2,0,False
samsng galaxy s6 . standar fon samsung ini . bia sampai satu peringkta . dia akan lagi dijuragan sendiri nya . saya pengguna samsung yang kecea .,2,0,False
"kecea dengan kualitas barang dari depan kantor , chtiato expired msaih dijual untung aku masih baik . tadinya ingin lapor .",2,0,False
"kceewa denagn xl , suah 2 bulan berturut-berturut gagla debet ke kartu kredit bca statsu katu normal padaahl bulan-bulan sebelumnya lancr . maalh suruh datang ke gerai xl , buat apa ada pusat panggilan !",2,1,False
"bsa mmilih penerbangan . selain itu , ckuup mudh dalam bertransaksi . lengkap aplikasi nya !",0,1,False
foto aku cuma modal kamera xiaomi : tetapi ttap suak !,0,2,False
"temen gue teelpon genggm nya xiaomi yag 2 jta sja masih kembali . pas gue tanya kenapa dia beli itu padahal bisa saja di beli iphne , dia jawab karena dia sua kraena spek nya . melebih iphone yang lo pandang richu itu .",0,2,False
tidak dapat apple aku tidak keewa kok . yang pentign samsung galaxy grand sudah di tagan ku sekarang . aku senng .,0,2,False
"iya enk banget soal nya ; iya dong indomie mah teh terbaik . iya , lau aku juga tdak suka orang yang padhal jelas-jelas dia saalh dan hrus nya minta maaf , taip adem ayem saja sedangkna aku nya sudah menderita .",0,2,False
"harus belanja di shopee karena shopee itu memberikan bukti pelaanan yang bak , bukna sekadar jnji doang , seperti mantan itu",0,1,False
harus belanja di shoepe kraena pelayanan dair shope itu benar benar memusakan pelanggan dan takkna mengecewakan .,0,2,False
dafatr hara dispenesr 208 terbaik yang ada di blibl.com memuat banyak produk . saah sau nya aalah miyako wdp - 200 dispenser . produk ini merupakan dispenser dengan peenmpatan gaon di bawah sehingga ana tidak perlu mengangkat galon saat akan mengisi air .,1,0,False
"adab di media soial itu jelas , kok . ska silakan like , mengikuti . tidak suka , unfoll / block , simpel . dan kita memiliki hak yang sama utnuk melakukan nya .",1,2,False
"kalu tidak ska gaperlu didukung mas , dukung saaj yang menurut mas duas itu bisa bawa indonesia jauh lebhi baik . yag penting kita harus menomorsatukan assa etika .",1,0,False
ada tiga taahp . pertma harus unlock bootloader terus pasang twrp terus robot deh xiaomi kamu tipe berapa ya ? soal nya ska beda gtu loh,1,2,False
"maaf ini oot . yang hape nya xiaoi , bias bntu aku tidak . ini kalau aku lagi buka twit atau saya begiu suka menang . nah yag aku lingkarkan merah itu alikasi yang menghilang begitu . ada yang tahu kenpa dan bagimana caar mnyembuhkan nya :",1,2,False
selaamt sang . kamu bisa menggunakan traif ramai-ramai untuk romobngan serta memanfat promo cashback dair rekanan bank seperti bank bri dan bca .,1,0,False
"di pesoa festival pasar treapung , ada juga permainan tradisional baogo , festival kan traidsional sasirangan , kompetisi chef hotel dan restoan terbak , festival kuliner deas banjar , lomba hias perau jukung , lomba fotografi , dan masih banyak lagi yang linnya .",1,0,False
"asisten pelatih pskc cimahi , nurjati merasa tim nya sangat bagnga bertemu dengan tim sebesar persib bandng di babak 128 besar piala indonesia 2018 .",0,1,False
sebentar lagi asian gaes 208 dimluai nih ! cboa tebak ada bearpa cabang olahraga yag dipertandingkan di aisan games nanti ! lalu meanngkan hadiah kompor spesial dari rinnai untuk 1 orang lazadians ynag berutung !,1,0,False
"beberapa fungsi layaann kami membutuhkan pendaftaran akun dengan memilih identiikasi pengguna id pengguna dan kaa snadi unik , serta memberikna informasi pirbadi tertetu . apabila anda memilih id penggnua yang dianggap tidk sopan atau tdiak pantas olh shopee atas kebijaan nya sendiri , shopee behak untuk menagguhkan atau menagkhiri akun anda .",1,2,False
"sebuah musibha baru saja menimpa kapung adat megalitikum gursuina di bajawa , flores . kebakaran hebat yang terjaid pada sein 13 / 8 soer hapmir menghnaguskan seluruh kampung . total 27 dari 33 rumah adat yang ada habis dilalap api bersama semua cerita dan sejarah nya .",1,0,False
"kalua dibandingkan sama jepnag , indonesia itu tdiak ada aap-apa nya .",2,1,False
harga baju di ramayana tidak sebading sama kaulitas baju nya .,2,0,False
moedl baju yagn ada di matahari tiak sebagus model baju di ramyana .,2,0,False
di antra maa kuliah ynag ada gue paling tdak suka sama statistika .,2,0,False
"andhika kangen bnad apa kabar ya , sepertinya makin misikn saja sekarang .",2,0,False
"di atnara olah raa yang ada , gue pailng tdak suka speak bola .",2,1,False
gue bersyuur jokowi bakal jadi presiden selama sepuluh tahun .,0,1,False
